City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
46,bambous virieux,-20.3428,57.7575,299.29,89,40,1.54,MU,1675099778
47,eucaliptus,-17.5833,-67.5167,289.55,38,100,3.75,BO,1675100072
48,conceicao do mato dentro,-19.0372,-43.425,298.29,76,96,3.42,BR,1675100072
49,torbay,47.6666,-52.7314,280.14,94,100,9.77,CA,1675100073
50,guapi,2.5708,-77.8854,301.61,76,43,2.69,CO,1675100073
51,mar del plata,-38.0023,-57.5575,301.94,78,20,8.49,AR,1675100074
52,jalu,29.0331,21.5482,286.6,29,0,4.64,LY,1675100074
53,punta arenas,-53.15,-70.9167,287.16,41,75,11.32,CL,1675100075
54,labytnangi,66.6572,66.4183,248.2,100,91,1.42,RU,1675100075
55,esperance,-33.8667,121.9,292.67,77,37,2.99,AU,1675099850
56,sitka,57.0531,-135.33,276.09,87,100,2.06,US,1675100076
57,tuktoyaktuk,69.4541,-133.0374,236.15,74,20,0.0,CA,1675100076
58,butaritari,3.0707,172.7902,300.33,74,79,10.11,KI,1675100077
59,hasaki,35.7333,140.8333,274.94,51,34,8.08,JP,1675100077
60,lebu,-37.6167,-73.65,291.13,74,9,10.22,CL,1675099992
61,avarua,-21.2078,-159.775,298.18,78,100,8.23,CK,1675100078
62,tshikapa,-6.4167,20.8,294.57,85,62,1.65,CD,1675100078
63,saint-philippe,-21.3585,55.7679,300.92,87,100,1.9,RE,1675100079
64,anadyr,64.75,177.4833,272.43,92,40,11.0,RU,1675100080
65,cape town,-33.9258,18.4232,300.38,44,0,6.69,ZA,1675099902
66,santa rosalia,27.3167,-112.2833,290.01,35,54,0.83,MX,1675100080
67,hobart,-42.8794,147.3294,289.07,77,100,2.57,AU,1675099912
68,qaanaaq,77.484,-69.3632,250.21,56,4,3.98,GL,1675100081
69,yerbogachen,61.2767,108.0108,243.09,100,96,1.53,RU,1675100081
70,havre-saint-pierre,50.2334,-63.5986,264.15,73,100,2.06,CA,1675100082
71,thompson,55.7435,-97.8558,242.24,69,0,3.6,CA,1675099872
72,belaya gora,68.5333,146.4167,247.14,98,100,4.38,RU,1675099919
73,mpika,-11.8343,31.4529,289.4,93,100,1.14,ZM,1675099945
74,general roca,-39.0333,-67.5833,310.72,14,0,4.57,AR,1675100083
75,new norfolk,-42.7826,147.0587,288.87,69,73,0.96,AU,1675100083
76,barrow,71.2906,-156.7887,254.16,78,100,7.2,US,1675099834
77,kapaa,22.0752,-159.319,293.76,90,100,3.58,US,1675100084
78,norman wells,65.282,-126.8329,258.17,78,75,8.75,CA,1675100085
79,sabinas hidalgo,26.5,-100.1667,294.1,82,64,2.71,MX,1675099903
80,guerrero negro,27.9769,-114.0611,288.7,58,92,2.86,MX,1675099994
81,bredasdorp,-34.5322,20.0403,292.56,70,2,8.71,ZA,1675100085
82,acapulco,16.8634,-99.8901,301.05,69,20,3.09,MX,1675099908
83,taoudenni,22.6783,-3.9836,292.75,12,54,4.81,ML,1675100086
84,haines junction,60.7522,-137.5108,262.29,97,100,0.38,CA,1675100087
85,ostrovnoy,68.0531,39.5131,270.44,91,100,6.73,RU,1675100071
86,komsomolskiy,40.4272,71.7189,271.55,80,100,3.09,UZ,1675100087
87,sisimiut,66.9395,-53.6735,262.42,90,100,3.6,GL,1675100088
88,nikolskoye,59.7035,30.7861,275.09,82,100,5.61,RU,1675100088
89,khatanga,71.9667,102.5,229.08,100,57,0.22,RU,1675100089
90,hwange,-18.3693,26.5019,292.78,90,59,2.93,ZW,1675100089
91,denia,38.8408,0.1057,284.68,70,2,4.47,ES,1675100090
92,hithadhoo,-0.6,73.0833,300.46,76,100,6.4,MV,1675100090
93,carnarvon,-24.8667,113.6333,296.68,80,2,6.64,AU,1675100091
94,port elizabeth,-33.918,25.5701,294.87,72,40,6.69,ZA,1675100091
95,crotone,39.0851,17.1178,282.7,71,0,1.54,IT,1675100092
96,maltahohe,-24.8333,16.9833,302.5,14,72,9.52,NA,1675100092
97,bontang,0.1333,117.5,298.12,89,100,2.04,ID,1675100093
98,caucaia,-3.7361,-38.6531,305.54,74,40,5.66,BR,1675100093
99,dunedin,-45.8742,170.5036,289.71,82,34,0.89,NZ,1675099947
100,teya,60.3778,92.6267,243.86,100,91,1.63,RU,1675100094
101,dikson,73.5069,80.5464,240.83,94,78,1.38,RU,1675100094
102,luderitz,-26.6481,15.1594,290.91,84,1,5.38,NA,1675100095
103,kirakira,-10.4544,161.9205,299.09,82,98,1.16,SB,1675100095
104,klaksvik,62.2266,-6.589,274.66,75,100,8.3,FO,1675100095
105,balkanabat,39.5108,54.3671,278.91,55,10,1.28,TM,1675100096
106,nanortalik,60.1432,-45.2371,269.03,78,99,2.53,GL,1675100083
107,baoma,31.4859,106.1128,281.67,44,0,1.44,CN,1675100096
108,port blair,11.6667,92.75,300.17,69,40,2.06,IN,1675099998
109,provideniya,64.3833,-173.3,272.37,99,100,1.67,RU,1675100097
110,sciacca,37.5082,13.0881,282.85,77,4,4.51,IT,1675100098
111,cedar city,37.6775,-113.0619,265.59,79,100,3.6,US,1675100047
112,aklavik,68.2191,-135.0107,239.32,100,79,1.79,CA,1675100098
113,aracaju,-10.9111,-37.0717,303.12,66,40,6.69,BR,1675100098
114,nador,35.174,-2.9287,287.29,58,20,5.14,MA,1675100099
115,la palma,33.8464,-118.0467,285.93,86,75,2.06,US,1675099953
116,nemuro,43.3236,145.575,268.62,68,100,0.99,JP,1675100100
117,najran,17.4924,44.1277,293.51,35,23,1.52,SA,1675100100
